ParticipantID,X,Z,Frame,Total Time,Lapsed Time,Target Name,X Euler Angle,Y Euler Angle,Z Euler Angle
BNCTour,0,-4.1,4037,28.44562,28.44562,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4038,28.45261,28.45261,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4039,28.4595,28.4595,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4040,28.46649,28.46649,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4041,28.47342,28.47342,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4042,28.4803,28.4803,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4043,28.48733,28.48733,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4044,28.49419,28.49419,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4045,28.5012,28.5012,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4046,28.50803,28.50803,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4047,28.51504,28.51504,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4048,28.52202,28.52202,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4049,28.52895,28.52895,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4050,28.53589,28.53589,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4051,28.5428,28.5428,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4052,28.54979,28.54979,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4053,28.55669,28.55669,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4054,28.56361,28.56361,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4055,28.57067,28.57067,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4056,28.57751,28.57751,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4057,28.5846,28.5846,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4058,28.59237,28.59237,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4059,28.5985,28.5985,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4060,28.60532,28.60532,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4061,28.61228,28.61228,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4062,28.61918,28.61918,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4063,28.62618,28.62618,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4064,28.63309,28.63309,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4065,28.64006,28.64006,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4066,28.64706,28.64706,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4067,28.65392,28.65392,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4068,28.66092,28.66092,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4069,28.66783,28.66783,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4070,28.67474,28.67474,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4071,28.68169,28.68169,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4072,28.68858,28.68858,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4073,28.6956,28.6956,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4074,28.70251,28.70251,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4075,28.70957,28.70957,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4076,28.71646,28.71646,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4077,28.72336,28.72336,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4078,28.73034,28.73034,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4079,28.73723,28.73723,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4080,28.74418,28.74418,Bank #1 || Task: None,(0.0, 0.0, 0.0)
BNCTour,0,-4.1,4081,28.75111,28.75111,Bank #1 || Task: None,(0.0, 0.0, 0.0)
